Ticker,Company,Sector,Industry,Country
RPRX,Royalty Pharma plc,Healthcare,Biotechnology,USA
RPT,RPT Realty,Real Estate,REIT - Retail,USA
RPTX,Repare Therapeutics Inc.,Healthcare,Biotechnology,Canada
RQI,"Cohen & Steers Quality Income Realty Fund, Inc.",Financial,Closed-End Fund - Equity,USA
RRBI,"Red River Bancshares, Inc.",Financial,Banks - Regional,USA
RRC,Range Resources Corporation,Energy,Oil & Gas E&P,USA
RRD,R. R. Donnelley & Sons Company,Industrials,Specialty Business Services,USA
RRGB,"Red Robin Gourmet Burgers, Inc.",Consumer Cyclical,Restaurants,USA
RRR,"Red Rock Resorts, Inc.",Consumer Cyclical,Resorts & Casinos,USA
RS,Reliance Steel & Aluminum Co.,Basic Materials,Steel,USA
RSG,"Republic Services, Inc.",Industrials,Waste Management,USA
RSI,"Rush Street Interactive, Inc.",Consumer Cyclical,Gambling,USA
RSSS,"Research Solutions, Inc.",Technology,Information Technology Services,USA
RSVA,Rodgers Silicon Valley Acquisition Corp.,Financial,Shell Companies,USA
RSVAU,Rodgers Silicon Valley Acquisition Corp.,Financial,Shell Companies,USA
RTLR,Rattler Midstream LP,Energy,Oil & Gas Midstream,USA
RTP,Reinvent Technology Partners,Financial,Shell Companies,USA
RTPYU,Reinvent Technology Partners Y,Financial,Shell Companies,USA
RTPZ,Reinvent Technology Partners Z,Financial,Shell Companies,USA
RTX,Raytheon Technologies Corporation,Industrials,Aerospace & Defense,USA
RUBY,"Rubius Therapeutics, Inc.",Healthcare,Biotechnology,USA
RUN,Sunrun Inc.,Technology,Solar,USA
RUSHA,"Rush Enterprises, Inc.",Consumer Cyclical,Auto & Truck Dealerships,USA
RUTH,"Ruth's Hospitality Group, Inc.",Consumer Cyclical,Restaurants,USA
RVI,Retail Value Inc.,Real Estate,REIT - Retail,USA
RVLV,"Revolve Group, Inc.",Consumer Cyclical,Internet Retail,USA
RVMD,"Revolution Medicines, Inc.",Healthcare,Biotechnology,USA
RVNC,"Revance Therapeutics, Inc.",Healthcare,Biotechnology,USA
RVP,"Retractable Technologies, Inc.",Healthcare,Medical Instruments & Supplies,USA
RVPH,"Reviva Pharmaceuticals Holdings, Inc.",Healthcare,Biotechnology,USA
RVSB,"Riverview Bancorp, Inc.",Financial,Banks - Regional,USA
RVT,Royce Value Trust Inc.,Financial,Closed-End Fund - Equity,USA
RWLK,ReWalk Robotics Ltd.,Healthcare,Medical Devices,Israel
RWT,"Redwood Trust, Inc.",Real Estate,REIT - Mortgage,USA
RXDX,"Prometheus Biosciences, Inc.",Healthcare,Biotechnology,USA
RXN,Rexnord Corporation,Industrials,Specialty Industrial Machinery,USA
RXRAU,RXR Acquisition Corp.,Financial,Shell Companies,USA
RXRX,"Recursion Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA
RXT,"Rackspace Technology, Inc.",Technology,Software - Infrastructure,USA
RY,Royal Bank of Canada,Financial,Banks - Diversified,Canada
RYAAY,Ryanair Holdings plc,Industrials,Airlines,Ireland
RYAM,Rayonier Advanced Materials Inc.,Basic Materials,Chemicals,USA
RYB,"RYB Education, Inc.",Consumer Defensive,Education & Training Services,China
RYI,Ryerson Holding Corporation,Industrials,Metal Fabrication,USA
RYN,Rayonier Inc.,Real Estate,REIT - Specialty,USA
RYTM,"Rhythm Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA
RZLT,"Rezolute, Inc.",Healthcare,Biotechnology,USA
SA,Seabridge Gold Inc.,Basic Materials,Gold,Canada
SABR,Sabre Corporation,Technology,Information Technology Services,USA
SACH,Sachem Capital Corp.,Real Estate,REIT - Mortgage,USA
SAFE,Safehold Inc.,Real Estate,REIT - Diversified,USA
SAFM,"Sanderson Farms, Inc.",Consumer Defensive,Packaged Foods,USA
SAFT,"Safety Insurance Group, Inc.",Financial,Insurance - Property & Casualty,USA
SAGE,"Sage Therapeutics, Inc.",Healthcare,Biotechnology,USA
SAH,"Sonic Automotive, Inc.",Consumer Cyclical,Auto & Truck Dealerships,USA
SAIA,"Saia, Inc.",Industrials,Trucking,USA
SAIC,Science Applications International Corporation,Technology,Information Technology Services,USA
SAII,Software Acquisition Group Inc. II,Financial,Shell Companies,USA
SAIL,"SailPoint Technologies Holdings, Inc.",Technology,Software - Infrastructure,USA
SAL,"Salisbury Bancorp, Inc.",Financial,Banks - Regional,USA
SALM,"Salem Media Group, Inc.",Communication Services,Broadcasting,USA
SAM,"The Boston Beer Company, Inc.",Consumer Defensive,Beverages - Brewers,USA
SAMG,Silvercrest Asset Management Group Inc.,Financial,Asset Management,USA
SAN,"Banco Santander, S.A.",Financial,Banks - Diversified,Spain
SANA,"Sana Biotechnology, Inc.",Healthcare,Biotechnology,USA
SAND,Sandstorm Gold Ltd.,Basic Materials,Gold,Canada
SANM,Sanmina Corporation,Technology,Electronic Components,USA
SANW,S&W Seed Company,Consumer Defensive,Farm Products,USA
SAP,SAP SE,Technology,Software - Application,Germany
SAR,Saratoga Investment Corp.,Financial,Asset Management,USA
SASR,"Sandy Spring Bancorp, Inc.",Financial,Banks - Regional,USA
SATS,EchoStar Corporation,Technology,Communication Equipment,USA
SAVA,"Cassava Sciences, Inc.",Healthcare,Biotechnology,USA
SAVE,"Spirit Airlines, Inc.",Industrials,Airlines,USA
SB,"Safe Bulkers, Inc.",Industrials,Marine Shipping,Monaco
SBAC,SBA Communications Corporation,Real Estate,REIT - Specialty,USA
SBBP,Strongbridge Biopharma plc,Healthcare,Biotechnology,USA
SBCF,Seacoast Banking Corporation of Florida,Financial,Banks - Regional,USA
SBEAU,SilverBox Engaged Merger Corp I,Financial,Shell Companies,USA
SBFG,"SB Financial Group, Inc.",Financial,Banks - Regional,USA
SBG,Sandbridge Acquisition Corporation,Financial,Shell Companies,USA
SBGI,"Sinclair Broadcast Group, Inc.",Communication Services,Broadcasting,USA
SBH,"Sally Beauty Holdings, Inc.",Consumer Cyclical,Specialty Retail,USA
SBI,Western Asset Intermediate Muni Fund Inc.,Financial,Asset Management,USA
SBLK,Star Bulk Carriers Corp.,Industrials,Marine Shipping,Greece
SBNY,Signature Bank,Financial,Banks - Regional,USA
SBNYP,Signature Bank,Financial,Banks - Regional,USA
SBOW,"SilverBow Resources, Inc.",Energy,Oil & Gas E&P,USA
SBR,Sabine Royalty Trust,Energy,Oil & Gas E&P,USA
